Actor Losses,Critic Losses,Total Rewards,Avg Lengths
0.035688284784555435,27.091411590576172,-44.247711181640625,49.0
0.011771969497203827,41.879329681396484,-43.92805480957031,48.6953125
0.04357101395726204,32.60334777832031,-43.04440689086914,48.0
0.04321638494729996,28.41872787475586,-43.124298095703125,48.0
0.03142170608043671,23.340253829956055,-43.528594970703125,48.3046875
0.011136739514768124,20.332670211791992,-43.90699768066406,48.6796875
0.04475182667374611,18.68425941467285,-43.03028106689453,47.984375
0.04658157378435135,18.08197784423828,-43.084312438964844,47.984375
0.014084766618907452,17.14708709716797,-43.822574615478516,48.6796875
-0.0008123738807626069,16.816743850708008,-44.11939239501953,49.0
0.017979765310883522,17.204858779907227,-43.81333923339844,48.6328125
0.04879919812083244,16.168386459350586,-42.99028778076172,47.9765625
-0.0019322197185829282,15.58993148803711,-44.05219650268555,49.0
0.02911374345421791,16.22770118713379,-43.438690185546875,48.3125
-0.0011610486544668674,14.892646789550781,-44.15580749511719,49.0
0.01701665297150612,15.161015510559082,-43.77927017211914,48.6640625
-0.0010814237175509334,14.338427543640137,-44.15906524658203,49.0
0.07423807680606842,16.32695770263672,-42.37154769897461,47.3828125
-0.0012288052821531892,15.003376007080078,-44.250572204589844,49.0
0.034865837544202805,14.14380931854248,-43.41236877441406,48.3203125
-0.0015188221586868167,14.428454399108887,-44.15306091308594,49.0
-0.0007830783724784851,13.864677429199219,-44.194549560546875,49.0
0.03229599446058273,15.549181938171387,-43.406715393066406,48.34375
0.013212085701525211,15.353572845458984,-43.848541259765625,48.671875
-0.00223496463149786,13.832939147949219,-44.08917999267578,49.0
-0.001956639578565955,13.221935272216797,-44.10990905761719,49.0
0.013505029492080212,14.110238075256348,-43.77275848388672,48.6640625
-0.0009263547253794968,14.633718490600586,-44.15849304199219,49.0
-0.0012158991303294897,12.23034954071045,-44.05342483520508,49.0
0.03341019153594971,13.501913070678711,-43.25800323486328,48.3203125
-0.0010653637582436204,14.372428894042969,-44.222190856933594,49.0
0.013720805756747723,13.984755516052246,-43.751800537109375,48.6953125
0.036570917814970016,13.909394264221191,-43.343345642089844,48.328125
0.044330209493637085,14.001707077026367,-43.10469436645508,48.046875
0.016353068873286247,12.757871627807617,-43.867164611816406,48.6796875
-0.0014226310886442661,12.433249473571777,-44.22918701171875,49.0
-0.0011991411447525024,12.338654518127441,-44.20755386352539,49.0
-0.0015291239833459258,11.839508056640625,-44.198585510253906,49.0
0.00815647467970848,11.286434173583984,-43.77460861206055,48.6875
0.016303865239024162,11.95554256439209,-43.68174743652344,48.640625
0.03570988401770592,11.060997009277344,-43.21814727783203,48.3125
0.03656862676143646,11.01661491394043,-43.28794860839844,48.328125
0.011422935873270035,11.757280349731445,-43.69987106323242,48.6875
0.035005051642656326,10.9857177734375,-43.39452362060547,48.375
0.034882064908742905,10.587596893310547,-43.314510345458984,48.3203125
