Actor Losses,Critic Losses,Total Rewards,Avg Lengths,Success Rates
0.04868733882904053,105.04256439208984,-88.33293914794922,98.3671875,0.0078125
0.017058640718460083,66.68822479248047,-88.40155029296875,98.359375,0.0078125
0.030138123780488968,24.123170852661133,-88.00489807128906,97.7265625,0.015625
0.019184965640306473,31.00484275817871,-88.77577209472656,98.3125,0.0078125
0.03590189665555954,20.459081649780273,-87.78627014160156,97.6484375,0.015625
0.03752687945961952,19.342721939086914,-87.87165832519531,97.6484375,0.015625
0.01926453970372677,19.38877296447754,-88.48905944824219,98.3046875,0.0078125
0.01747683808207512,16.432390213012695,-88.80050659179688,98.3828125,0.0078125
0.034121543169021606,16.290494918823242,-87.93812561035156,97.75,0.015625
0.03839830309152603,14.873819351196289,-87.78474426269531,97.6640625,0.015625
-0.0011723771458491683,13.350995063781738,-89.33480834960938,99.0,0.0
0.02249217964708805,13.272151947021484,-88.52647399902344,98.296875,0.0078125
-0.0012215592432767153,11.297204971313477,-89.14669799804688,99.0,0.0
0.04190266132354736,11.207365036010742,-87.59889221191406,97.6953125,0.015625
0.07854253798723221,10.112226486206055,-86.05741882324219,96.359375,0.03125
0.030187679454684258,9.543076515197754,-88.28787231445312,98.296875,0.0078125
-0.00110355403739959,9.227950096130371,-88.83871459960938,99.0,0.0
0.024266427382826805,9.076656341552734,-88.14297485351562,98.34375,0.0078125
-0.0018436589743942022,9.688660621643066,-88.5033950805664,99.0,0.0
0.02349972352385521,8.908248901367188,-88.12418365478516,98.3203125,0.0078125
0.026184407994151115,8.805057525634766,-88.13420104980469,98.328125,0.0078125
-0.0010332338279113173,8.551250457763672,-88.91801452636719,99.0,0.0
-0.0008632170502096415,8.642936706542969,-88.78345489501953,99.0,0.0
0.02960907109081745,8.346211433410645,-87.99363708496094,98.3046875,0.0078125
0.021685020998120308,8.343514442443848,-87.93685913085938,98.40625,0.0078125
0.026206690818071365,8.336845397949219,-87.92204284667969,98.3203125,0.0078125
0.1037038192152977,9.816962242126465,-85.44738006591797,95.75,0.0390625
0.06894367933273315,8.335994720458984,-86.59799194335938,97.015625,0.0234375
-0.0016825497150421143,8.755352020263672,-88.63960266113281,99.0,0.0
-0.0017042499966919422,7.836904525756836,-88.66958618164062,99.0,0.0
0.028322668746113777,8.512741088867188,-87.82516479492188,98.328125,0.0078125
0.024365367367863655,8.465085983276367,-87.83749389648438,98.34375,0.0078125
0.019255483523011208,9.196755409240723,-87.65704345703125,98.3125,0.0078125
0.09042607247829437,8.519218444824219,-85.72871398925781,96.3828125,0.03125
0.030689168721437454,7.614893436431885,-87.5650405883789,98.34375,0.0078125
0.029044322669506073,7.886591911315918,-87.55636596679688,98.3359375,0.0078125
-0.0014723300701007247,8.297568321228027,-88.58721923828125,99.0,0.0
0.025657059624791145,7.6947922706604,-87.251220703125,98.3515625,0.0078125
-0.0010746174957603216,7.41053581237793,-88.3499984741211,99.0,0.0
0.02897414192557335,7.775650978088379,-87.638671875,98.34375,0.0078125
-0.0010298097040504217,7.015389442443848,-88.22559356689453,99.0,0.0
0.024432528764009476,8.380915641784668,-87.8335952758789,98.3359375,0.0078125
0.023905575275421143,7.312175750732422,-87.5858383178711,98.3359375,0.0078125
-0.0013967055128887296,8.162232398986816,-88.54851531982422,99.0,0.0
0.08031412959098816,7.978541851043701,-86.0599365234375,96.9921875,0.0234375
-0.0015758187510073185,7.429396152496338,-88.13435363769531,99.0,0.0
-0.0016413050470873713,7.637502670288086,-88.01011657714844,99.0,0.0
-0.0008485247381031513,7.425766468048096,-88.12751007080078,99.0,0.0
-0.0014375954633578658,6.7388386726379395,-88.0313720703125,99.0,0.0
0.06394544988870621,8.32555866241455,-85.7182388305664,96.9921875,0.0234375
0.05392526090145111,8.334054946899414,-86.6458511352539,97.609375,0.015625
0.04788745194673538,8.564960479736328,-86.74142456054688,97.6875,0.015625
0.1006900817155838,8.922916412353516,-85.28627014160156,96.2421875,0.03125
0.022571653127670288,8.700943946838379,-87.45162963867188,98.3125,0.0078125
0.05079494044184685,7.960680961608887,-86.88412475585938,97.7109375,0.015625
0.08715642243623734,8.582496643066406,-85.26834106445312,96.34375,0.03125
0.027426090091466904,7.869151592254639,-87.223388671875,98.328125,0.0078125
-0.001338425325229764,7.624394416809082,-87.92958068847656,99.0,0.0
0.052237894386053085,7.767205715179443,-86.34815979003906,97.6953125,0.015625
-0.0015817251987755299,7.826557636260986,-88.08255767822266,99.0,0.0
0.04213155433535576,7.635897636413574,-86.64558410644531,97.7734375,0.015625
0.05440106242895126,7.882382869720459,-86.4820785522461,97.640625,0.015625
0.021037941798567772,6.872561931610107,-87.35395812988281,98.390625,0.0078125
0.03299126774072647,7.27682638168335,-87.11510467529297,98.2890625,0.0078125
0.07481001317501068,7.418664455413818,-85.94795227050781,96.984375,0.0234375
-0.0019734655506908894,7.043414115905762,-87.59376525878906,99.0,0.0
0.053203780204057693,7.7102837562561035,-86.2778549194336,97.6640625,0.015625
0.07588735967874527,7.731703758239746,-85.7481689453125,97.015625,0.0234375
0.0733828917145729,8.246223449707031,-85.43426513671875,96.96875,0.0234375
-0.0011982298456132412,7.186859130859375,-87.88236999511719,99.0,0.0
-0.0012899967841804028,7.118131160736084,-87.88436889648438,99.0,0.0
-0.001298172166571021,7.109240531921387,-87.71664428710938,99.0,0.0
0.07145632058382034,8.235754013061523,-85.6121826171875,97.078125,0.0234375
0.01809944398701191,6.907106399536133,-87.03337097167969,98.359375,0.0078125
0.052326977252960205,6.075351715087891,-86.24156188964844,97.640625,0.015625
-0.0016118761850520968,6.492884635925293,-87.87797546386719,99.0,0.0
-0.0011662952601909637,6.553768157958984,-87.49266052246094,99.0,0.0
0.053014274686574936,7.193454742431641,-86.12338256835938,97.703125,0.015625
0.021034112200140953,6.622406482696533,-86.86270904541016,98.359375,0.0078125
-0.002306282753124833,6.663896560668945,-87.47877502441406,99.0,0.0
-0.0015421404968947172,6.622506141662598,-87.38865661621094,99.0,0.0
0.06740067154169083,7.5508575439453125,-85.86620330810547,97.171875,0.0234375
-0.0013920464552938938,6.817591667175293,-87.24201965332031,99.0,0.0
0.027374690398573875,7.648407936096191,-86.83814239501953,98.3515625,0.0078125
0.028431052342057228,7.3313798904418945,-86.60762023925781,98.3046875,0.0078125
0.028579022735357285,7.807145118713379,-86.63740539550781,98.3671875,0.0078125
0.06285964697599411,7.492991924285889,-85.42829895019531,97.09375,0.0234375
-0.0011091961059719324,6.634204864501953,-87.10531616210938,99.0,0.0
-0.0013589021982625127,6.134974479675293,-87.12946319580078,99.0,0.0
-0.001255101291462779,6.720484733581543,-87.30622100830078,99.0,0.0
-0.0015556192956864834,6.693770885467529,-87.02899932861328,99.0,0.0
-0.0011704060016199946,6.623864650726318,-86.81322479248047,99.0,0.0
0.056192703545093536,6.168538570404053,-85.69234466552734,97.625,0.015625
0.029827948659658432,5.933399677276611,-86.25602722167969,98.328125,0.0078125
0.027069199830293655,5.95920991897583,-86.23258972167969,98.3203125,0.0078125
-0.0019218161469325423,5.976449012756348,-86.71257019042969,99.0,0.0
0.051990438252687454,6.308945655822754,-85.75440979003906,97.671875,0.015625
0.03807568550109863,6.125568866729736,-85.98883819580078,97.921875,0.015625
-0.0011700289323925972,5.692578315734863,-86.82862854003906,99.0,0.0
0.02366034686565399,5.654788494110107,-86.02941131591797,98.3828125,0.0078125
0.026122288778424263,6.143883228302002,-86.27757263183594,98.375,0.0078125
0.009474140591919422,5.71808385848999,-86.24676513671875,98.6875,0.0078125
0.025541158393025398,6.1932220458984375,-86.02239227294922,98.3515625,0.0078125
0.019981911405920982,6.036891937255859,-86.01596069335938,98.421875,0.0078125
0.05820433050394058,5.865731239318848,-84.993408203125,97.6953125,0.015625
-0.0016475975280627608,5.521697998046875,-86.55641174316406,99.0,0.0
-0.0019099158234894276,4.801172256469727,-86.53398132324219,99.0,0.0
-0.0013951444998383522,5.41554069519043,-86.36295318603516,99.0,0.0
0.05567074939608574,5.63759183883667,-85.00775146484375,97.6796875,0.015625
-0.0019729251507669687,5.18698263168335,-86.56847381591797,99.0,0.0
0.02652602829039097,6.309909820556641,-85.69515228271484,98.3515625,0.0078125
0.047220248728990555,5.99381160736084,-85.20930480957031,97.7265625,0.015625
0.046060532331466675,6.049895286560059,-84.83142852783203,97.7734375,0.015625
0.08442993462085724,6.383774280548096,-84.02265167236328,96.6875,0.03125
-0.002186991972848773,4.674985885620117,-86.29420471191406,99.0,0.0
0.025603365153074265,5.77150297164917,-85.89578247070312,98.375,0.015625
0.02509792521595955,5.113629341125488,-85.326904296875,98.3515625,0.0078125
-0.0018548977095633745,5.105408668518066,-86.14328002929688,99.0,0.0
-0.0016380249289795756,4.456798553466797,-86.26278686523438,99.0,0.0
0.023991599678993225,5.184874534606934,-85.65664672851562,98.421875,0.0078125
0.049559541046619415,5.436056137084961,-84.89968872070312,97.7578125,0.015625
-0.0014609374338760972,5.066227912902832,-86.33804321289062,99.0,0.0
0.050337646156549454,5.419489860534668,-85.10354614257812,97.7265625,0.015625
0.0003192988224327564,5.215329170227051,-85.85771179199219,98.921875,0.0078125
0.05383966490626335,5.0885090827941895,-84.68730163574219,97.71875,0.015625
-0.002200901275500655,5.198276519775391,-85.91075134277344,99.0,0.0
0.02658887766301632,5.345088958740234,-85.28340148925781,98.359375,0.0078125
0.03537151962518692,5.71769905090332,-84.8749771118164,98.0078125,0.015625
0.024938279762864113,4.825316429138184,-85.02011108398438,98.3828125,0.0078125
0.06473830342292786,5.736664295196533,-84.08512115478516,97.1953125,0.0234375
-0.0020112870261073112,4.714344024658203,-85.72015380859375,99.0,0.0
-0.0022095071617513895,4.8850603103637695,-85.96090698242188,99.0,0.0
0.0006995584117248654,5.094522476196289,-85.72782135009766,98.9296875,0.0078125
